Nom;Prenom;Description;Departement;N° Interne;Bureau
AIMANT;Rayan;Informaticien;HotLine/Informatique;326;Bureau 13
ALACA;Ruben;Commercial;Achat/Technique;265;Bureau 2
ALIOUA;Chloé;Informaticien;HotLine/Informatique;332;Bureau 13
AL-KHAMRY;Lorraine;Ingénieur;Recherche/R&D;354;Bureau 17
AMAND;Simon;Vendeur;Site2/Marketting;416;Site 2
ARFARAS;Nicolas;Comptable;Comptabilité/Finances;283;Bureau 4
ASSIENE;Alban;Assistant RH;Gestion du personnel/Ressources humaines;316;Bureau 12
AUBLY;Vincent;Vendeur;Site3/Marketting;424;Site 3
BAERT;Steven;Vendeur;Site2/Marketting;413;Site 2
BAISAGUROVA;Arnaud;Informaticien;Systèmes/Informatique;457;Bureau 25
BALCI;Dorcas;Commercial;Sédentaires/Commerciaux;386;Bureau 23
BARDIAUX;Morgan;Vendeur;Site1/Marketting;393;Site 1
BAVOUA KENFACK;Adrien;Informaticien;Développement/Informatique;300;Bureau 9
BAYANAK NLEND;Emilie;Ingénieur;Testing/R&D;500;Bureau 29
BELLANTE;François;Assistant RH;Recrutement/Ressources humaines;371;Bureau 22
BENREZKALLAH;Abdülgani;Assistant RH;Gestion du personnel/Ressources humaines;317;Bureau 12
BIENFAIT;Mathieu;Assistant RH;Gestion du personnel/Ressources humaines;311;Bureau 11
BINET;Thibault;Commercial;Achat/Technique;262;Bureau 1
BLAIRON;Thomas;Vendeur;Site3/Marketting;419;Site 3
BODY;Emmanuel;Assistant RH;Gestion du personnel/Ressources humaines;306;Bureau 10
BONNAMI;Mehdi;Financier;Investissements/Finances;335;Bureau 14
BOULANGER;Samuel;Comptable;Comptabilité/Finances;286;Bureau 5
BRARD;Antoine;Ingénieur;Recherche/R&D;358;Bureau 18
BRODKOM;Rémi;Vendeur;Site1/Marketting;395;Site 1
BROGNIEZ;Audrey;Vendeur;Site4/Marketting;441;Site 4
BRUYÈRE;Adäam;Informaticien;Systèmes/Informatique;459;Bureau 25
BUCHKREMER;Karim;Informaticien;Développement/Informatique;299;Bureau 9
BUGHIN;Jodie;Informaticien;HotLine/Informatique;319;Bureau 13
BUISINE;Jordan;Ingénieur;Testing/R&D;496;Bureau 28
BUREAU;Jordan;Vendeur;Site1/Marketting;401;Site 1
CAMBIER;Adriano;Technico-commercial;Technico/Commerciaux;483;Bureau 23
CAMMARATA;Guylian;Financier;Investissements/Finances;339;Bureau 14
CAPEL;Quentin;Vendeur;Site3/Marketting;430;Site 4
CARBILLET;Lloyd;Ingénieur;Testing/R&D;499;Bureau 29
CAROLUS;Nathan;Vendeur;Site3/Marketting;422;Site 3
CASIER;Julien;Ingénieur;Recherche/R&D;352;Bureau 17
CELENZA;Raphael;Informaticien;Développement/Informatique;296;Bureau 8
